metric,mean,std,min,max
recall@20,1.0000,0.0000,1.0000,1.0000
coverage,0.8417,0.3194,0.0000,1.0000
factual_precision,1.0000,0.0000,1.0000,1.0000
factual_recall,1.0000,0.0000,1.0000,1.0000
hallucination_rate,0.0000,0.0000,0.0000,0.0000
verified_f1,0.8452,0.3101,0.0000,1.0000
f1_score,0.8452,0.3101,0.0000,1.0000
exact_match,0.7333,0.4422,0.0000,1.0000
bleu4,0.2642,0.1563,0.0000,0.5623
rouge_l,0.8452,0.3101,0.0000,1.0000
abstention_rate,0.0000,0.0000,0.0000,0.0000
fever_score,0.8619,0.3045,0.0000,1.0000
